fullname,party,starttime,endtime,chair,secs,secsgt60,chairparty,chairname,copartisan,timeofday,leadshipparty,coarseparty,pm,spkrintpos,chairintpos,spkrordpos,chairordpos,intposdif,ordposdif,leftspkr,leftchair,cobloc,debatetype,debate,female
Thor Pedersen,V,2010-10-07T10:04:03Z,2010-10-07T10:04:20Z,1,17,0,V,Thor Pedersen,NA,10.0675,1,V,0,7.35021786492375,7.35021786492375,7,7,NA,NA,0,0,NA,Opening,Opening 2010,0
Peter Christensen,V,2010-10-07T10:04:20Z,2010-10-07T10:09:37Z,0,317,1,V,Thor Pedersen,1,10.0722222222222,1,V,0,7.35021786492375,7.35021786492375,7,7,0,0,0,0,1,Opening,Opening 2010,0
Thor Pedersen,V,2010-10-07T10:15:35Z,2010-10-07T10:16:24Z,1,49,0,V,Thor Pedersen,NA,10.2597222222222,1,V,0,7.35021786492375,7.35021786492375,7,7,NA,NA,0,0,NA,Opening,Opening 2010,0
Margrethe Vestager,RV,2010-10-07T10:16:24Z,2010-10-07T10:17:17Z,0,53,0,V,Thor Pedersen,0,10.2733333333333,1,RV,0,5.01054384017758,7.35021786492375,4,7,2.33967402474617,3,1,0,0,Opening,Opening 2010,1
Thor Pedersen,V,2010-10-07T10:17:17Z,2010-10-07T10:17:19Z,1,2,0,V,Thor Pedersen,NA,10.2880555555556,1,V,0,7.35021786492375,7.35021786492375,7,7,NA,NA,0,0,NA,Opening,Opening 2010,0
Peter Christensen,V,2010-10-07T10:17:19Z,2010-10-07T10:18:21Z,0,62,1,V,Thor Pedersen,1,10.2886111111111,1,V,0,7.35021786492375,7.35021786492375,7,7,0,0,0,0,1,Opening,Opening 2010,0
Thor Pedersen,V,2010-10-07T10:18:21Z,2010-10-07T10:18:22Z,1,1,0,V,Thor Pedersen,NA,10.3058333333333,1,V,0,7.35021786492375,7.35021786492375,7,7,NA,NA,0,0,NA,Opening,Opening 2010,0
Margrethe Vestager,RV,2010-10-07T10:18:22Z,2010-10-07T10:18:48Z,0,26,0,V,Thor Pedersen,0,10.3061111111111,1,RV,0,5.01054384017758,7.35021786492375,4,7,2.33967402474617,3,1,0,0,Opening,Opening 2010,1
Thor Pedersen,V,2010-10-07T10:18:48Z,2010-10-07T10:18:50Z,1,2,0,V,Thor Pedersen,NA,10.3133333333333,1,V,0,7.35021786492375,7.35021786492375,7,7,NA,NA,0,0,NA,Opening,Opening 2010,0
Peter Christensen,V,2010-10-07T10:18:50Z,2010-10-07T10:19:31Z,0,41,0,V,Thor Pedersen,1,10.3138888888889,1,V,0,7.35021786492375,7.35021786492375,7,7,0,0,0,0,1,Opening,Opening 2010,0
Thor Pedersen,V,2010-10-07T10:19:31Z,2010-10-07T10:19:34Z,1,3,0,V,Thor Pedersen,NA,10.3252777777778,1,V,0,7.35021786492375,7.35021786492375,7,7,NA,NA,0,0,NA,Opening,Opening 2010,0
Per Clausen,EL,2010-10-07T10:19:34Z,2010-10-07T10:20:56Z,0,82,1,V,Thor Pedersen,0,10.3261111111111,1,EL,0,1.49210822998873,7.35021786492375,1,7,5.85810963493502,6,1,0,0,Opening,Opening 2010,0
Thor Pedersen,V,2010-10-07T10:20:56Z,2010-10-07T10:20:57Z,1,1,0,V,Thor Pedersen,NA,10.3488888888889,1,V,0,7.35021786492375,7.35021786492375,7,7,NA,NA,0,0,NA,Opening,Opening 2010,0
Peter Christensen,V,2010-10-07T10:20:57Z,2010-10-07T10:22:18Z,0,81,1,V,Thor Pedersen,1,10.3491666666667,1,V,0,7.35021786492375,7.35021786492375,7,7,0,0,0,0,1,Opening,Opening 2010,0
