v5,v6,v7,v8,v9,v10,v11,v12,v13,v14_1,v14_1a,v15_1,v15_1a,v16_1,v16_1a,v17_1,v17_1a,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,split,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,gruppe,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,split3,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,split2,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320,v321,v322,v323,v324,v325,v326,v327,v328,v329,v330,v331,v332_andet,v332_samlet,v333,v334,v336,v337,v338,v340,v341,r10,fdag,fmd,faar,knr,freg,statb,civst,bald,select,sampling,intbald,int_koen,anc,Stillingskode,Tidligerestillingskode,Samletstillingskode,simpel,udvidet,socio,simpel.tidligere,udvidet.tidligere,socio.tidligere,simpelsamlet,udvidetsamlet,sociosamlet,region,weight_1,weight_2,weight_3,weight_4,Postnummer
5,1950,1,0,0,0,1,2,2,623,7,631,6,640,6,800,11,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,1,1,5,5,3,1,5,5,5,1,5,5,5,5,5,7,7,3,2,5,1,2,5,10,10,10,10,10,10,10,10,10,10,4,4,4,3,3,4,2,2,0,7,7,4,5,5,4,3,5,5,100,10,11,3,1,88,7,88,7,7,88,88,1,1,88,1,1,100,100,100,100,100,100,100,100,100,100,100,100,88,88,88,88,88,88,88,88,8,2,1,3,4,13,4,4,4,2,1,1,1,1,4,4,3,4,3,5,2,3,2,3,1,1,2,1,1,1,3,3,3,3,3,2,3,3,3,2,8,3,2,3,2,2,2,1,2,2,2,1,1,1,1,5,5,2,1,2,1,5,5,5,3,5,1,1,1,1,8,5,1,1,5,1,4,5,5,1,2,3,2,1,4,1,1,4,4,2,8,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,2,2,4,4,2,1,0,3,2,2,3,3,1,3,4,3,4,2,2,4,4,3,2,8,5,3,3,3,3,3,3,3,3,4,2,10,10,10,10,10,10,10,10,10,3,1,1,3,3,1,3,3,2,8,2,2,4,3,2,2,3,5,10,10,10,10,10,10,10,10,10,5,1,5,5,5,5,1,5,5,997,2,88,88,88,5,8,3,4,1,5,5,5,5,1,10,10,1,4,5,1,10,1,9,,9,1,100,3,3,10,10,10,1,20,6,1950,165,5154,5100,G,61,0.35042735042735,2.85365853658537,61,2,4,23205,,23205,3,4,132,,,,3,4,132,1,1.01732309735966,1.38393807411194,0.9966738735487,0.637384330276898,2620
1,1965,2,0,2,100,100,2,2,620,7,630,6,650,8,622,7,1,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,3,1,1,1,5,5,5,5,1,5,5,7,7,2,4,1,8,5,5,10,10,10,10,10,10,10,10,10,10,7,4,5,7,4,5,4,9,2,2,2,4,4,5,4,8,11,1,8,1,100,3,1,7,7,1,7,7,1,8,1,4,8,3,4,100,100,100,100,100,100,100,100,100,100,100,100,8,8,1,8,7,1,99,4,1,2,1,3,4,7,1,2,1,1,1,2,2,1,4,2,4,4,2,4,4,4,4,4,2,1,3,1,1,1,1,3,2,3,1,2,3,3,3,1,1,3,2,3,8,2,2,1,2,1,1,1,1,1,1,3,4,1,1,4,5,1,5,1,3,4,4,1,5,1,1,5,1,5,5,1,5,5,1,1,2,2,5,5,1,4,3,2,2,2,7,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,4,4,5,4,5,5,8,4,5,3,2,5,2,1,2,5,2,2,2,4,2,2,4,4,1,4,5,5,4,5,4,4,4,4,4,1,5,5,2,5,5,2,2,5,2,10,10,10,10,10,10,10,10,10,1,1,3,1,1,4,4,1,5,10,10,10,10,10,10,10,10,10,5,5,1,5,5,1,1,5,5,997,4,88,88,88,7,9,1,10,5,5,5,5,5,5,10,10,10,4,3,1,7,1,1,,1,1,100,3,3,10,10,1,1,3,3,1965,165,7010,5100,G,46,0.345070422535211,2.89795918367347,61,2,4,41422,,41422,3,5,134,,,,3,5,134,1,0.923436046411971,0.940230573926653,0.890387553933285,0.91435044152396,2620
1,1984,0,100,100,100,100,3,2,90,17,903,16,631,6,90,17,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,1,5,5,2,1,5,5,1,1,5,1,1,8,1,7,7,5,6,2,8,5,1,5,5,5,5,5,5,1,5,5,5,6,0,3,5,0,2,10,10,0,0,5,4,0,5,10,10,0,1,8,2,100,3,1,7,7,1,10,7,1,8,88,88,8,88,88,100,100,100,100,100,100,100,100,100,100,100,100,7,7,88,7,7,88,88,88,88,2,1,3,4,10,4,4,4,1,3,1,2,8,4,4,4,4,3,4,4,4,4,3,8,8,2,1,8,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,1,1,2,2,3,4,2,1,1,1,2,5,2,5,5,5,3,1,1,2,2,3,4,1,5,8,8,8,1,1,5,2,5,2,5,5,3,2,2,3,8,5,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,9,3,5,5,88,88,9,9,0,4,3,2,4,8,2,2,8,1,8,8,8,8,8,8,8,8,4,3,3,3,3,3,3,3,3,3,2,10,10,10,10,10,10,10,10,10,5,8,8,8,8,1,2,8,1,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,5,5,1,5,5,1,1,5,5,997,8,88,88,88,4,6,1,10,5,5,5,5,5,1,10,10,5,2,2,4,100,1,1,,1,10,100,10,10,1,3,8,1,23,5,1984,165,7155,5100,U,27,0.416666666666667,2.4,61,2,4,99920,91410,99920,6,9,2,5,8,135,6,9,2,1,0.822344491825507,0.7732811535106,0.804252838331377,1.04437953684833,2620
5,1953,0,100,100,100,100,3,2,760,14,210,3,611,6,642,6,5,5,1,1,5,5,5,5,5,1,5,5,5,5,1,1,1,5,5,2,1,5,5,5,1,5,1,1,5,1,4,5,3,1,3,4,3,1,5,5,5,5,5,5,5,5,1,5,4,5,4,0,8,0,0,0,6,5,5,0,7,0,0,0,7,5,100,10,4,3,1,10,7,88,88,7,88,4,3,9,10,3,9,100,100,100,100,100,100,100,100,100,100,100,100,88,3,4,88,3,88,4,4,8,1,2,2,1,3,9,9,9,2,1,8,2,2,4,5,4,4,4,4,5,8,4,4,1,2,1,1,8,1,1,3,3,2,3,2,3,2,3,3,3,3,1,2,2,2,2,1,2,3,2,2,2,2,4,5,5,5,3,5,3,8,3,2,3,2,1,5,2,8,8,2,1,4,5,2,4,3,5,2,3,4,3,3,3,2,3,3,4,3,8,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,6,7,10,5,10,10,10,2,8,8,8,8,8,1,2,5,4,3,8,1,4,1,2,2,5,4,4,3,1,5,1,2,1,5,5,1,8,8,2,2,8,2,2,5,5,10,10,10,10,10,10,10,10,10,3,3,1,5,1,2,1,5,5,10,10,10,10,10,10,10,10,10,5,5,1,5,5,1,1,5,5,997,8,1,88,7,7,10,1,10,5,5,5,5,1,1,10,1,1,4,6,1,8,1,18,2,19,1,100,3,2,10,10,2,71,13,9,1953,230,7024,5100,F,58,0.301587301587302,3.31578947368421,59,1,1,32292,,32292,3,4,133,,,,3,4,133,1,1.07780947156999,1.02435213454226,0.865493958631012,0.764057188543655,2850
5,1974,2,0,2,100,100,4,5,600,6,621,7,10,17,,,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,5,1,5,5,2,1,5,5,5,5,5,1,5,5,1,5,0,6,2,4,8,5,5,10,10,10,10,10,10,10,10,10,10,1,2,4,1,1,7,8,10,6,0,1,1,2,3,5,10,5,1,8,1,100,3,1,7,7,1,7,7,1,10,1,10,1,10,10,100,100,100,100,100,100,100,100,100,100,100,100,8,5,8,5,5,10,88,9,8,2,1,4,3,4,3,3,1,2,1,2,2,2,4,1,4,5,5,1,5,5,5,4,1,1,1,1,2,1,3,3,3,2,3,1,2,1,1,1,1,1,1,3,1,2,2,2,2,4,3,1,2,2,5,1,1,2,1,1,1,2,5,2,5,3,5,1,1,1,1,2,1,5,1,5,5,5,1,5,1,5,3,2,1,1,1,3,2,3,0,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,88,88,88,88,88,88,88,88,5,3,4,8,8,1,2,3,1,1,8,8,8,4,5,4,5,5,5,3,4,5,3,1,2,8,2,1,3,8,4,8,8,8,5,1,1,10,10,10,10,10,10,10,10,10,5,3,3,2,1,2,3,3,2,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,1,997,8,88,88,4,6,6,1,10,5,5,5,5,5,5,10,10,10,1,6,1,8,1,8,,8,1,100,3,3,10,10,4,1,6,12,1974,250,7111,5100,F,36,0.361538461538462,2.76595744680851,51,1,1,34600,,34600,3,4,133,,,,3,4,133,1,0.764094738102187,0.809675517835114,0.710857624810889,0.764057188543655,3600
5,1951,1,0,0,0,1,2,6,10,17,,,,,,,5,5,1,5,1,5,1,5,5,5,5,5,5,5,1,5,1,5,5,2,1,1,1,5,5,5,1,5,5,5,7,7,3,5,1,1,4,5,10,10,10,10,10,10,10,10,10,10,1,8,4,4,7,4,4,4,0,7,5,4,7,5,5,4,1,1,1,1,100,3,2,100,100,100,100,100,100,100,100,100,100,100,100,1,8,1,8,2,1,1,1,8,1,1,8,7,7,2,7,7,2,1,1,3,2,1,3,4,6,2,2,9,2,1,1,2,2,3,3,4,3,2,2,2,3,3,2,1,1,1,1,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,2,1,1,3,1,2,2,2,4,2,3,2,2,4,4,4,3,2,3,4,2,4,1,4,3,4,2,3,2,2,4,2,2,2,3,2,5,4,1,3,3,2,2,2,8,2,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,4,3,5,8,1,5,5,8,0,3,4,2,5,2,1,2,8,3,4,3,3,5,2,4,2,8,3,3,3,3,5,8,3,3,8,3,1,2,5,3,5,3,2,2,8,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,4,4,2,4,4,5,1,4,5,5,1,5,5,5,1,5,5,997,2,1,99,7,9,11,3,2,5,5,5,5,1,5,10,5,10,4,4,4,100,1,1,,1,1,100,2,3,10,10,10,1,17,4,1951,390,7470,5100,G,60,0.264705882352941,3.77777777777778,71,1,1,34391,,34391,2,2,133,,,,2,2,133,2,1.29410509758855,1.37987365722656,1.34672147511606,1.04437953684833,4760
1,1955,0,100,100,100,100,4,6,210,3,800,11,650,8,10,17,1,5,5,5,5,5,5,1,5,5,1,5,5,5,5,1,5,5,5,3,1,5,5,5,5,5,5,5,5,5,7,0,3,5,6,7,1,1,1,5,5,5,5,5,5,5,5,5,6,3,3,3,3,3,3,3,3,1,1,4,0,2,5,5,5,5,100,10,7,3,1,7,7,9,9,7,9,10,3,9,3,3,9,100,100,100,100,100,100,100,100,100,100,100,100,7,7,9,8,7,9,10,9,3,2,1,3,4,14,3,2,3,2,1,2,2,2,5,4,4,3,4,2,2,2,3,3,2,1,2,1,1,1,2,3,3,3,3,1,3,3,3,2,2,3,2,3,2,2,2,1,1,3,1,3,2,3,3,3,5,3,2,4,5,3,3,3,3,4,3,2,1,2,3,2,1,3,4,4,4,3,3,2,1,5,2,2,2,1,1,4,5,2,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,6,5,8,4,5,7,7,0,4,5,2,4,3,1,3,5,1,4,4,2,4,3,3,3,4,3,4,4,3,4,4,3,3,5,4,1,4,4,2,4,3,2,3,5,3,10,10,10,10,10,10,10,10,10,4,3,1,4,3,3,2,4,3,10,10,10,10,10,10,10,10,10,5,5,1,5,5,5,1,5,5,997,2,1,88,7,2,2,3,2,1,5,5,5,5,5,10,10,10,2,2,1,3,5,100,,,10,100,10,10,1,2,5,1,3,10,1955,376,9302,5100,F,55,0.315068493150685,3.17391304347826,61,1,6,99920,83242,99920,6,9,2,5,8,134,6,9,2,2,1.3772675487888,0.942341903160358,1.12461402333172,1.13932374286169,4840
1,1991,0,100,100,100,100,1,6,400,2,200,2,540,12,280,3,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,1,5,5,1,5,5,5,5,5,5,1,5,5,1,2,0,3,1,2,8,5,1,5,5,5,5,1,5,5,5,5,5,3,2,2,4,2,6,7,9,2,2,3,9,2,7,7,10,7,1,8,1,100,3,2,100,100,100,100,100,100,100,100,100,100,100,100,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,7,7,8,8,1,3,1,2,4,3,5,3,3,2,2,2,2,2,4,3,2,4,3,2,3,4,4,3,3,2,2,2,1,2,1,2,3,3,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,4,2,4,4,2,3,1,2,1,5,4,2,4,4,4,4,2,4,2,3,5,4,4,2,4,5,1,2,5,4,2,4,4,4,5,5,2,2,2,6,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,4,3,8,3,10,0,6,0,4,3,2,3,2,1,2,4,1,4,4,2,4,2,2,2,4,3,2,3,4,2,4,4,4,2,3,1,4,4,2,4,2,1,2,5,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,2,2,4,1,2,3,5,3,5,5,1,5,5,5,1,5,5,997,2,1,4,3,2,8,3,8,5,5,5,5,5,5,10,10,10,3,3,2,100,1,1,,1,1,100,2,3,10,10,4,1,17,9,1991,360,7664,5100,U,19,0.544117647058823,1.83783783783784,66,1,17,71244,,71244,7,10,31,,,,7,10,31,2,1.05122296149272,1.15348476833767,1.00620471877857,1.04437953684833,4983
5,1964,1,0,1,100,100,4,3,291,,610,6,800,11,640,6,5,5,1,5,5,1,1,5,5,5,5,5,5,5,1,1,1,5,5,2,1,5,5,5,1,5,5,5,1,5,7,7,5,1,2,8,4,5,10,10,10,10,10,10,10,10,10,10,7,3,6,3,4,6,0,9,2,5,6,3,3,6,4,8,6,5,100,10,8,3,2,100,100,100,100,100,100,100,100,100,100,100,100,8,8,8,8,8,5,88,88,88,88,88,88,10,88,10,88,3,9,3,88,5,2,1,1,1,14,3,3,4,2,3,1,2,2,4,4,8,4,2,8,8,8,4,3,1,2,2,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,8,8,4,1,8,8,8,8,4,3,8,2,8,4,5,4,3,2,3,3,5,4,3,2,1,2,8,8,3,1,3,2,2,3,3,3,2,3,3,3,2,2,2,6,1,2,2,2,1,2,1,2,2,2,2,2,8,2,3,2,7,4,6,8,2,8,9,8,1,8,8,8,8,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,2,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,4,5,5,1,5,5,1,1,5,5,997,8,1,8,7,9,10,3,3,1,1,5,5,5,1,5,10,1,4,5,1,10,1,18,3,20,1,100,3,3,10,10,5,71,24,10,1964,561,9302,5100,U,46,0.311827956989247,3.20689655172414,,,,23101,,23101,2,3,132,,,,2,3,132,3,0.690945822584215,0.974720087918368,0.668709130852616,0.637384330276898,6705
5,1946,0,100,100,100,100,2,3,200,2,550,12,650,8,610,6,5,1,5,5,1,5,1,5,5,5,5,5,5,5,1,5,5,5,5,3,1,5,5,5,1,5,5,5,5,5,7,7,2,4,2,8,3,1,5,5,1,5,5,5,5,5,5,5,3,1,7,5,1,1,2,9,1,0,8,2,2,2,2,10,4,5,100,10,11,3,2,100,100,100,100,100,100,100,100,100,100,100,100,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,2,1,1,1,4,1,3,1,2,1,1,2,2,3,4,4,4,4,3,2,3,3,3,1,2,2,1,1,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,2,1,1,4,8,2,3,3,4,4,3,3,2,3,2,3,2,2,2,3,2,2,3,3,3,2,4,5,3,2,2,5,4,2,3,3,3,2,3,2,3,2,2,3,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,0,5,5,0,0,7,9,0,8,8,8,8,8,1,8,8,3,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,4,4,4,2,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,5,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,1,5,5,1,5,5,5,1,5,5,997,8,1,8,7,4,88,3,4,1,5,5,5,1,1,10,5,1,4,5,1,7,1,18,3,20,2,31,3,3,10,10,10,71,6,10,1946,751,8120,5100,G,64,0.393617021276596,2.54054054054054,,,,41150,,41150,3,5,134,,,,3,5,134,4,0.62232707632078,0.729988175995497,0.672015835010578,0.91435044152396,8230
