fullname,female
Thor Pedersen,0
Peter Christensen,0
Margrethe Vestager,1
Per Clausen,0
Simon Emil Ammitzboell,0
Per Oerum Joergensen,0
Henrik Dam Kristensen,0
Ole Sohn,0
Hans Kristian Skibby,0
Mette Frederiksen,1
Jonas Dahl,0
Morten Oestergaard,0
Christine Antorini,1
Astrid Krag,1
Johanne Schmidt-Nielsen,1
Rasmus Prehn,0
Lone Dybkjaer,1
Anders Samuelsen,0
Helle Thorning-Schmidt,1
Pia Kjaersgaard,1
Henriette Kjaer,1
Mogens Lykketoft,0
Kristian Jensen,0
Anne-Mette Winther Christiansen,1
Vivi Kier,1
Kristian Thulesen Dahl,1
Karsten Lauritzen,0
Line Barfod,1
Torsten Schack Pedersen,0
Kurt Scheelsbeck,0
Henrik Sass Larsen,0
Morten Boedskov,0
Kirsten Brosboel,1
Helge Adam Moeller,0
John Dyrby Paulsen,0
Benny Engelbrecht,0
Karl H. Bornhoeft,0
Villy Soevndal,0
Colette L. Brix,1
Jacob Jensen,0
Sophie Loehde,1
Peter Skaarup,0
Mads Roervig,0
Carsten Hansen,0
Ole Haekkerup,0
Yildiz Akdogan,1
Jesper Petersen,0
Frank Aaen,0
Per Husted,0
Julie Rademacher,1
Peter Westermann,0
Mogens Jensen,0
Soeren Espersen,0
Flemming Damgaard Larsen,0
Tom Behnke,0
Erling Bonnesen,0
Birgitte Josefsen,1
Holger K. Nielsen,0
Rasmus Jarlov,0
Tage Leegaard,0
Juliane Henningsen,1
Lars-Emil Johansen  (,NA
Hoegni Hoydal,0
Edmund Joensen,0
Preben Rudiengaard,0
Statsministeren  (Lars Loekke Rasmus,NA
Klaus Haekkerup,0
Maja Panduro,1
Jeppe Kofod,0
Mette Gjerskov,1
Magnus Heunicke,0
Flemming Moeller Mortensen,0
Ellen Trane Noerby,1
Karen Haekkerup,1
Steen Gade,0
Carina Christensen,1
Marion Pedersen,1
Helle Sjelle,1
René Christensen,0
Orla Hav,0
Nanna Westerby,1
Torben Hansen,0
Charlotte Dyremose,1
Tina Nedergaard,1
Jesper Langballe,0
Louise Schack Elholm,1
Eyvind Vesselbo,0
Sophie Haestorp Andersen,1
Kim Mortensen,0
Anne Marie Geisler Andersen,1
Per Dalgaard,0
Peter Juel Jensen,0
Henrik Brodersen,0
Anne Grete Holmsgaard,1
Jens Peter Vernersen,0
Ulla Toernaes,1
Eigil Andersen,0
,NA
Camilla Hersom,1
Sofie Carsten Nielsen,1
Rasmus Helveg Petersen,0
Ane Halsboe-Larsen,NA
Pernille Rosenkrantz-Theil,1
Lars Barfoed,0
Gitte Lillelund Bech,1
Mette Bock,1
Benedikte Kiaer,1
Inger Stoejberg,1
Stine Brix,1
Marianne Jelved,1
